"user1_id","user2_id","u1_looking_for_type","u1_city","u1_budget_min","u1_budget_max","u1_hobby_gym","u1_hobby_gaming","u1_hobby_cooking","u1_hobby_creative","u1_hobby_hiking","u1_hobby_music","u1_hobby_movies","u1_hobby_foodie","u1_hobby_partying","u1_hobby_reading","u1_pref_smoking","u1_pref_drinking","u1_pref_introverted","u1_pref_clean_high","u1_pref_noise_sensitive","u1_pref_guests_ok","u1_pref_student","u1_pref_night_owl","u2_looking_for_type","u2_city","u2_budget_min","u2_budget_max","u2_hobby_gym","u2_hobby_gaming","u2_hobby_cooking","u2_hobby_creative","u2_hobby_hiking","u2_hobby_music","u2_hobby_movies","u2_hobby_foodie","u2_hobby_partying","u2_hobby_reading","u2_pref_smoking","u2_pref_drinking","u2_pref_introverted","u2_pref_clean_high","u2_pref_noise_sensitive","u2_pref_guests_ok","u2_pref_student","u2_pref_night_owl","y_match"
"1","6","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0"
"2","6","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0"
"3","6","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","1"
"4","6","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","1"
"5","6","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0"
"1","7","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0"
"2","7","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0"
"3","7","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0"
"4","7","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0"
"5","7","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0"
"6","7","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1"
"1","8","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"2","8","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"3","8","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"4","8","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"5","8","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"6","8","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"7","8","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0"
"1","10","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"2","10","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"3","10","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"4","10","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"5","10","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"6","10","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"7","10","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"8","10","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"9","10","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0"
"1","12","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"2","12","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"3","12","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"4","12","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"5","12","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"6","12","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"7","12","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"8","12","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"9","12","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"10","12","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","0"
"1","13","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"2","13","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"3","13","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"4","13","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"5","13","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"6","13","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"7","13","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"8","13","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"9","13","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"10","13","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"12","13","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","0"
"1","9","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"2","9","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"3","9","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"4","9","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"5","9","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"6","9","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1"
"7","9","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"8","9","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0"
"1","14","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"2","14","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"3","14","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"4","14","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"5","14","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"6","14","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1"
"7","14","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"8","14","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"9","14","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"10","14","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"12","14","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"13","14","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0"
"1","15","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"2","15","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"3","15","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"4","15","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"5","15","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"6","15","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","1"
"7","15","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"8","15","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"9","15","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"10","15","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"12","15","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"13","15","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","1","1","0","1","0","1","1","1","0","0","1","0","1","1","1","0","0","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"14","15","ROOMMATE","Huddersfield","400","1300","1","0","0","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","JOIN_GROUP","Huddersfield","600","1000","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
"1","16","ROOM_AND_ROOMMATE","Huddersfield","400","1000","1","1","1","0","0","1","0","1","1","0","0","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"2","16","ROOM_AND_ROOMMATE","Huddersfield","600","800","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"3","16","JOIN_GROUP","Huddersfield","600","1000","0","0","0","1","0","1","1","1","1","1","1","0","0","1","1","0","1","1","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"4","16","ROOM_AND_ROOMMATE","Huddersfield","700","1000","0","1","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"5","16","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"6","16","JOIN_GROUP","Huddersfield","550","800","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"7","16","ROOM_AND_ROOMMATE","Huddersfield","400","830","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"8","16","ROOMMATE","Huddersfield","400","800","0","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"9","16","ROOM_AND_ROOMMATE","Huddersfield","400","800","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"10","16","ROOMMATE","Huddersfield","700","1200","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
"12","16","ROOMMATE","Huddersfield","600","900","1","0","0","1","1","1","0","1","1","1","0","1","1","1","0","1","0","1","ROOMMATE","Huddersfield","800","1000","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","0","0"
